eventID,occurrenceID,basisOfRecord,individualCount,organismQuantity,organismQuantityType,occurrenceStatus,scientificName,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,recordedBy,type,ownerInstitutionCode,habitatType,date,samplingTime
north1-1,,cameratrapping,1,1,,present,Sciurus vulgaris,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,vulgaris,,species,Cale,,,bracken,12/9/23,10:45
north5-1,,cameratrapping,1,1,,present,Oryctolagus cuniculus,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Oryctolagus,cuniculus,,species,Cale,,,semiGrassland,13/9/2023,17:49
north5-2,,cameratrapping,1,1,,present,Oryctolagus cuniculus,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Oryctolagus,cuniculus,,species,Cale,,,semiGrassland,14/9/2023,04:04
north7-1,,cameratrapping,1,1,,present,Oryctolagus cuniculus,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Oryctolagus,cuniculus,,species,Cale,,,semiGrassland,14/9/2023,17:42
north7-2,,cameratrapping,1,1,,present,Oryctolagus cuniculus,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Oryctolagus,cuniculus,,species,Cale,,,semiGrassland,14/9/2023,20:01
north7-3,,cameratrapping,1,1,,present,Apodemus sylvaticus,Animalia,Chordata,Mammalia,Rodentia,Muridae,Apodemus,sylvaticus,,species,Cale,,,semiGrassland,14/9/2023,20:29
north8-1,,cameratrapping,1,1,,present,Anthus pratensis,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus,pratensis,,species,Cale,,,semiGrassland,14/9/2023,10:05
north9-1,,cameratrapping,1,1,,present,Sorex araneus,Animalia,Chordata,Mammalia,Eulipotyphla,Soricidae,Sorex,araneus,,species,Cale,,,semiGrassland,15/9/2023,02:41
south2-1,,cameratrapping,1,1,,present,Cervus elaphus,Animalia,Chordata,Mammalia,Artiodactyla,Cervinae,Cervus,elaphus,,species,Cale,,,bracken,13/9/2023,07:12
south4-1,,cameratrapping,1,1,,present,Cervus elaphus,Animalia,Chordata,Mammalia,Artiodactyla,Cervinae,Cervus,elaphus,,species,Cale,,,bracken,13/9/2023,22:31
south5-1,,cameratrapping,1,1,,present,Cervus elaphus,Animalia,Chordata,Mammalia,Artiodactyla,Cervinae,Cervus,elaphus,,species,Cale,,,semiGrassland,14/9/2023,07:53
south5-2,,cameratrapping,1,1,,present,Cervus elaphus,Animalia,Chordata,Mammalia,Artiodactyla,Cervinae,Cervus,elaphus,,species,Cale,,,semiGrassland,14/9/2023,08:18
south5-3,,cameratrapping,1,1,,present,Cervus elaphus,Animalia,Chordata,Mammalia,Artiodactyla,Cervinae,Cervus,elaphus,,species,Cale,,,semiGrassland,14/9/2023,08:18